x, y
1.000000, 1.000000
2.000000, 1.000000
3.000000, 0.999900
4.000000, 0.999800
5.000000, 0.999500
6.000000, 0.999000
7.000000, 0.996400
8.000000, 0.991200
9.000000, 0.980300
10.000000, 0.959500
11.000000, 0.913300
12.000000, 0.823300
13.000000, 0.664200
14.000000, 0.411400
