x, y
1.000000, 0.999900
2.000000, 0.999900
3.000000, 0.999900
4.000000, 0.999800
5.000000, 0.999800
6.000000, 0.999400
7.000000, 0.998100
8.000000, 0.996200
9.000000, 0.992000
10.000000, 0.981900
11.000000, 0.960100
12.000000, 0.913800
13.000000, 0.824700
14.000000, 0.648900
