x, y
1.000000, 1.000000
2.000000, 1.000000
3.000000, 1.000000
4.000000, 1.000000
5.000000, 1.000000
6.000000, 0.999800
7.000000, 0.999500
8.000000, 0.999000
9.000000, 0.997600
10.000000, 0.995100
11.000000, 0.990100
12.000000, 0.978000
13.000000, 0.947600
14.000000, 0.887000
